event_annotation	variant	template	genomic_start	genomic_end	transcriptomic_start	transcriptomic_end
mes	ENSG00000280441_mes	ENSG00000280441_template	8383784,8405960,8406184,8407346,8409173,8410179,8450147,8450371,8451533,8453320	8384098,8406056,8407184,8407437,8409390,8410645,8450243,8451371,8451624,8453537	331,646,743,1744,1836,2054,2521,2618,3619,3711	645,742,1743,1835,2053,2520,2617,3618,3710,3928
es	ENSG00000259235_es	ENSG00000259235_template	48190040	48190157	431	548
afe	ENSG00000259235_afe	ENSG00000259235_template	48191385	48191560	1	176
afe	ENSG00000259235_template	ENSG00000259235_afe	48191581	48191691	1	111
es	ENSG00000261436_es	ENSG00000261436_template	60365022	60365643	645	1266
mee	ENSG00000233783_mee	ENSG00000233783_template	25937790	25937912	1700	1822
mee	ENSG00000233783_template	ENSG00000233783_mee	25941308	25942686	1700	3078
es	ENSG00000155660_es	ENSG00000155660_template	149014904	149015042	874	1012
a3	ENSG00000115649_a3	ENSG00000115649_template	219175668	219175672	486	490
afe	ENSG00000115649_afe	ENSG00000115649_template	219177698	219178106	1	409
afe	ENSG00000115649_template	ENSG00000115649_afe	219177104	219177313	1	210
mee	ENSG00000115649_mee	ENSG00000115649_template	219174146	219174207	899	960
mee	ENSG00000115649_template	ENSG00000115649_mee	219173350	219173467	899	1016
a5	ENSG00000169255_a5	ENSG00000169255_template	161089944	161090661	2675	3392
es	ENSG00000188467_es	ENSG00000188467_template	48138969	48139175	3724	3930
a5	ENSG00000188467_a5	ENSG00000188467_template	48141200	48141214	3931	3945
mee	ENSG00000188467_mee	ENSG00000188467_template	48134258	48134341	2999	3082
mee	ENSG00000188467_template	ENSG00000188467_mee	48134435	48134538	2999	3102
es	ENSG00000206531_es	ENSG00000206531_template	112837942	112838010	603	671
ale	ENSG00000206531_ale	ENSG00000206531_template	112818769	112818778	1434	1443
ale	ENSG00000206531_template	ENSG00000206531_ale	112815709	112815975	1434	1700
es	ENSG00000007237_es	ENSG00000007237_template	10026150	10026285	1024	1159
ale	ENSG00000007237_ale	ENSG00000007237_template	9918001	9918099	3103	3201
ale	ENSG00000007237_template	ENSG00000007237_ale	9910609	9917341	3103	9835
afe	ENSG00000007237_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000007237_template	10114442	10114553	1	112
afe	ENSG00000007237_template	ENSG00000007237_ale,afe,mee,ir,mes,a3,es,a5	10198208	10198551	1	344
ale	ENSG00000007237_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000007237_template	9918001	9918099	11005	11103
ale	ENSG00000007237_template	ENSG00000007237_ale,afe,mee,ir,mes,a3,es,a5	9910609	9917341	3103	9835
mee	ENSG00000007237_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000007237_template	10039742	10039795	274	327
mee	ENSG00000007237_template	ENSG00000007237_ale,afe,mee,ir,mes,a3,es,a5	10059692	10059815	506	629
mes	ENSG00000007237_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000007237_template	9981804,9969677,9959202,9958925,9946894,9943121,9940126,9934166	9981884,9969762,9959495,9959003,9946983,9943236,9940200,9934244	1526,1607,1693,1987,2066,2156,2272,2347	1606,1692,1986,2065,2155,2271,2346,2425
es	ENSG00000007237_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000007237_template	10026150	10026285	1024	1159
ir	ENSG00000007237_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000007237_template	10027100	10036433	642	9975
a3	ENSG00000007237_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000007237_template	9924712	9924785	2904	2977
a5	ENSG00000007237_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000007237_template	9924667	9924686	2904	2923
es	ENSG00000105732_es	ENSG00000105732_template	42070366	42071000	486	1120
es	ENSG00000285627_es	ENSG00000285627_template	1744623	1745940	246	1563
es	ENSG00000124788_es	ENSG00000124788_template	16614975	16616119	5357	6501
es	ENSG00000134184_es	ENSG00000134184_template	109690454	109690564	1303	1413
mes	ENSG00000134184_mes	ENSG00000134184_template	109688117,109688991	109688986,109689129	97,967	966,1105
ir	ENSG00000134184_ir	ENSG00000134184_template	109689326	109690270	1207	2151
a3	ENSG00000134184_a3	ENSG00000134184_template	109708481	109708913	1954	2386
es	ENSG00000100528_es	ENSG00000100528_template	54436079	54436126	331	378
a3	ENSG00000100528_a3	ENSG00000100528_template	54436393	54436437	262	306
ale	ENSG00000100528_ale	ENSG00000100528_template	54423561	54427841	492	4772
ale	ENSG00000100528_template	ENSG00000100528_ale	54430158	54430404	492	738
es	ENSG00000104897_es	ENSG00000104897_template	2246753	2247206	1379	1832
mes	ENSG00000104897_mes	ENSG00000104897_template	2237794,2243382,2244544	2237894,2243544,2245186	79,180,343	179,342,985
es	ENSG00000157538_es	ENSG00000157538_template	37232377	37232645	2601	2869
es	ENSG00000233735_es	ENSG00000233735_template	240179317	240179475	80	238
ir	ENSG00000258083_ir	ENSG00000258083_template	141916637	141918816	239	2418
es	ENSG00000172146_es	ENSG00000172146_template	3208581	3208998	463	880
es	ENSG00000011243_es	ENSG00000011243_template	15381882	15382049	4435	4602
a5	ENSG00000011243_a5	ENSG00000011243_template	15380517	15380606	4603	4692
a5	ENSG00000086232_a5	ENSG00000086232_template	6044562	6044593	965	996
afe	ENSG00000086232_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000086232_template	6058966	6059175	1	210
afe	ENSG00000086232_template	ENSG00000086232_ale,afe,mee,ir,mes,a3,es,a5	6058148	6058242	1	95
ale	ENSG00000086232_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000086232_template	6026435	6026552	3323	3440
ale	ENSG00000086232_template	ENSG00000086232_ale,afe,mee,ir,mes,a3,es,a5	6022247	6024801	2241	4795
mee	ENSG00000086232_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000086232_template	6046723	6047091	408	776
mee	ENSG00000086232_template	ENSG00000086232_ale,afe,mee,ir,mes,a3,es,a5	6047204	6047246	555	597
mes	ENSG00000086232_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000086232_template	6040892,6038560,6037424,6028918	6041219,6038671,6037524,6029032	1126,1454,1566,1667	1453,1565,1666,1781
es	ENSG00000086232_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000086232_template	6049784	6050045	255	516
ir	ENSG00000086232_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000086232_template	6026962	6028614	1436	3088
a3	ENSG00000086232_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000086232_template	6044600	6044661	965	1026
a5	ENSG00000086232_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000086232_template	6044562	6044593	965	996
a5	ENSG00000259563_a5	ENSG00000259563_template	44517251	44517445	1	195
ir	ENSG00000124900_ir	ENSG00000124900_template	55888263	55888978	1034	1749
ale	ENSG00000124900_ale	ENSG00000124900_template	55889942	55890039	1057	1154
ale	ENSG00000124900_template	ENSG00000124900_ale	55891133	55891810	1057	1734
es	ENSG00000256069_es	ENSG00000256069_template	9230253	9230355	4347	4449
a3	ENSG00000256069_a3	ENSG00000256069_template	9240714	9240714	2723	2723
a5	ENSG00000256069_a5	ENSG00000256069_template	9274438	9274462	181	205
es	ENSG00000142173_es	ENSG00000142173_template	46115872	46115925	1758	1811
a5	ENSG00000142173_a5	ENSG00000142173_template	46117449	46117521	1956	2028
es	ENSG00000174327_es	ENSG00000174327_template	7038152	7038889	1051	1788
es	ENSG00000049167_es	ENSG00000049167_template	60892037	60893643	2710	4316
ale	ENSG00000049167_ale	ENSG00000049167_template	60873831	60874683	4515	5367
ale	ENSG00000049167_template	ENSG00000049167_ale	60887440	60887520	4515	4595
ale	ENSG00000230506_ale	ENSG00000230506_template	10196867	10196990	499	622
ale	ENSG00000230506_template	ENSG00000230506_ale	10200469	10200824	499	854
mee	ENSG00000149100_mee	ENSG00000149100_template	32588594	32588927	655	988
mee	ENSG00000149100_template	ENSG00000149100_mee	32589012	32589135	655	778
es	ENSG00000249790_es	ENSG00000249790_template	8790000	8790263	535	798
es	ENSG00000056736_es	ENSG00000056736_template	53856844	53856986	470	612
ir	ENSG00000056736_ir	ENSG00000056736_template	53852998	53855293	422	2717
afe	ENSG00000056736_afe	ENSG00000056736_template	53846568	53846648	1	81
afe	ENSG00000056736_template	ENSG00000056736_afe	53848664	53848688	1	25
es	ENSG00000169393_es	ENSG00000169393_template	48022170	48022376	625	831
afe	ENSG00000169393_afe	ENSG00000169393_template	48008649	48008737	1	89
afe	ENSG00000169393_template	ENSG00000169393_afe	47994632	47994811	1	180
es	ENSG00000164266_es	ENSG00000164266_template	147827086	147828130	297	1341
es	ENSG00000133302_es	ENSG00000133302_template	94691195	94691656	2752	3213
mes	ENSG00000133302_mes	ENSG00000133302_template	94653272,94654630,94662298,94663750,94665861,94670151,94670843,94678399,94686573,94688506	94653421,94654752,94662351,94663908,94666024,94670279,94671008,94678955,94686718,94688669	806,956,1079,1133,1292,1456,1585,1751,2308,2454	955,1078,1132,1291,1455,1584,1750,2307,2453,2617
a5	ENSG00000133302_a5	ENSG00000133302_template	94649583	94649597	518	532
afe	ENSG00000133302_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000133302_template	94618669	94618765	1	97
afe	ENSG00000133302_template	ENSG00000133302_ale,afe,mee,ir,mes,a3,es,a5	94620065	94620171	1	107
ale	ENSG00000133302_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000133302_template	94708225	94708289	4182	4246
ale	ENSG00000133302_template	ENSG00000133302_ale,afe,mee,ir,mes,a3,es,a5	94739164	94739436	6188	6460
mee	ENSG00000133302_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000133302_template	94630503	94630743	455	695
mee	ENSG00000133302_template	ENSG00000133302_ale,afe,mee,ir,mes,a3,es,a5	94629664	94629720	298	354
mes	ENSG00000133302_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000133302_template	94653272,94654630,94662298,94663750,94665861,94670151,94670843,94678399,94686573,94688506	94653421,94654752,94662351,94663908,94666024,94670279,94671008,94678955,94686718,94688669	806,956,1079,1133,1292,1456,1585,1751,2308,2454	955,1078,1132,1291,1455,1584,1750,2307,2453,2617
es	ENSG00000133302_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000133302_template	94691195	94691656	2752	3213
ir	ENSG00000133302_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000133302_template	94628925	94629091	212	378
a3	ENSG00000133302_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000133302_template	94694831	94694888	3397	3454
a5	ENSG00000133302_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000133302_template	94649583	94649597	518	532
afe	ENSG00000147481_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000147481_template	49910892	49912231	1	1340
afe	ENSG00000147481_template	ENSG00000147481_ale,afe,mee,ir,mes,a3,es,a5	49909789	49909904	1	116
ale	ENSG00000147481_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000147481_template	50752001	50752111	50281	50391
ale	ENSG00000147481_template	ENSG00000147481_ale,afe,mee,ir,mes,a3,es,a5	50792671	50796692	4838	8859
mee	ENSG00000147481_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000147481_template	50164131	50164420	1943	2232
mee	ENSG00000147481_template	ENSG00000147481_ale,afe,mee,ir,mes,a3,es,a5	50172561	50172635	719	793
mes	ENSG00000147481_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000147481_template	50536678,50553050,50568882,50575668,50590879	50536808,50553179,50569019,50575724,50590917	2009,2140,2270,2408,2465	2139,2269,2407,2464,2503
es	ENSG00000147481_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000147481_template	50438543	50438599	1299	1355
ir	ENSG00000147481_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000147481_template	50458175	50502777	3185	47787
a3	ENSG00000147481_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000147481_template	50450688	50450707	1458	1477
a5	ENSG00000147481_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000147481_template	50502854	50502880	1823	1849
es	ENSG00000258684_es	ENSG00000258684_template	21164221	21164401	437	617
mes	ENSG00000258684_mes	ENSG00000258684_template	21165675,21166693	21165821,21166840	677,824	823,971
mes	ENSG00000223715_mes	ENSG00000223715_template	176643941,176636647,176636309,176635441,176634345	176644123,176636779,176636533,176635623,176634535	865,1048,1181,1406,1589	1047,1180,1405,1588,1779
es	ENSG00000126562_es	ENSG00000126562_template	42787278	42787542	1563	1827
afe	ENSG00000126562_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000126562_template	42782758	42782930	1	173
afe	ENSG00000126562_template	ENSG00000126562_ale,afe,mee,ir,mes,a3,es,a5	42780610	42781316	1	707
ale	ENSG00000126562_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000126562_template	42796481	42796578	2397	2494
ale	ENSG00000126562_template	ENSG00000126562_ale,afe,mee,ir,mes,a3,es,a5	42796686	42797066	4478	4858
mee	ENSG00000126562_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000126562_template	42784422	42784579	723	880
mee	ENSG00000126562_template	ENSG00000126562_ale,afe,mee,ir,mes,a3,es,a5	42785097	42785185	1257	1345
mes	ENSG00000126562_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000126562_template	42788681,42793592,42794614	42788797,42794489,42794668	2127,2244,3142	2243,3141,3196
es	ENSG00000126562_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000126562_template	42787278	42787542	1563	1827
ir	ENSG00000126562_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000126562_template	42796034	42796122	2108	2196
a3	ENSG00000126562_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000126562_template	42795625	42795956	3869	4200
a5	ENSG00000126562_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000126562_template	42787862	42787899	1828	1865
ir	ENSG00000185238_ir	ENSG00000185238_template	20395963	20397576	975	2588
ale	ENSG00000185238_ale	ENSG00000185238_template	20494167	20494254	4178	4265
ale	ENSG00000185238_template	ENSG00000185238_ale	20508304	20509338	4178	5212
afe	ENSG00000185238_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000185238_template	20389744	20389826	1	83
afe	ENSG00000185238_template	ENSG00000185238_ale,afe,mee,ir,mes,a3,es,a5	20387558	20388154	1	597
ale	ENSG00000185238_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000185238_template	20494167	20494254	2483	2570
ale	ENSG00000185238_template	ENSG00000185238_ale,afe,mee,ir,mes,a3,es,a5	20508304	20509338	4178	5212
mee	ENSG00000185238_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000185238_template	20426766	20426865	2081	2180
mee	ENSG00000185238_template	ENSG00000185238_ale,afe,mee,ir,mes,a3,es,a5	20405446	20408032	1186	3772
mes	ENSG00000185238_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000185238_template	20392897,20393791	20392999,20393854	648,751	750,814
es	ENSG00000185238_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000185238_template	20464460	20464546	4040	4126
ir	ENSG00000185238_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000185238_template	20395963	20397576	294	1907
a3	ENSG00000185238_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000185238_template	20402919	20402956	1120	1157
a5	ENSG00000185238_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000185238_template	20452193	20452208	3773	3788
a5	ENSG00000258081_a5	ENSG00000258081_template	26933635	26934937	761	2063
ale	ENSG00000258081_ale	ENSG00000258081_template	27293190	27295516	2862	5188
ale	ENSG00000258081_template	ENSG00000258081_ale	27207056	27207118	2862	2924
afe	ENSG00000260239_afe	ENSG00000260239_template	4488798	4489030	1	233
afe	ENSG00000260239_template	ENSG00000260239_afe	4489127	4489295	1	169
mee	ENSG00000260239_mee	ENSG00000260239_template	4490680	4490853	304	477
mee	ENSG00000260239_template	ENSG00000260239_mee	4491807	4492190	304	687
es	ENSG00000185896_es	ENSG00000185896_template	113309643	113309862	1933	2152
ale	ENSG00000185896_ale	ENSG00000185896_template	113321557	113323672	2500	4615
ale	ENSG00000185896_template	ENSG00000185896_ale	113320345	113321470	2500	3625
es	ENSG00000178722_es	ENSG00000178722_template	61757151	61762063	14668	19580
mes	ENSG00000178722_mes	ENSG00000178722_template	61633848,61634774,61637708,61639856,61686076,61686872,61693496,61703866,61713874,61730046	61633970,61636595,61637846,61643400,61686112,61687070,61693560,61706535,61713969,61733368	499,622,2444,2583,6128,6165,6364,6429,9099,9195	621,2443,2582,6127,6164,6363,6428,9098,9194,12517
es	ENSG00000187791_es	ENSG00000187791_template	34895039	34895084	187	232
a3	ENSG00000187791_a3	ENSG00000187791_template	34892694	34893152	294	752
afe	ENSG00000259511_afe	ENSG00000259511_template	84172490	84172585	1	96
afe	ENSG00000259511_template	ENSG00000259511_afe	84172601	84173074	1	474
es	ENSG00000227711_es	ENSG00000227711_template	227509464	227509555	597	688
ir	ENSG00000253576_ir	ENSG00000253576_template	91976051	91977151	144	1244
ir	ENSG00000140521_ir	ENSG00000140521_template	89305225	89316304	6711	17790
es	ENSG00000125354_es	ENSG00000125354_template	119675554	119675668	296	410
a5	ENSG00000125354_a5	ENSG00000125354_template	119663482	119663635	411	564
es	ENSG00000127022_es	ENSG00000127022_template	179719668	179719781	2755	2868
ale	ENSG00000127022_ale	ENSG00000127022_template	179728591	179731641	3369	6419
ale	ENSG00000127022_template	ENSG00000127022_ale	179726680	179726759	3369	3448
afe	ENSG00000127022_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127022_template	179678628	179678777	1	150
afe	ENSG00000127022_template	ENSG00000127022_ale,afe,mee,ir,mes,a3,es,a5	179698406	179698825	1	420
ale	ENSG00000127022_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127022_template	179728591	179731641	1883	4933
ale	ENSG00000127022_template	ENSG00000127022_ale,afe,mee,ir,mes,a3,es,a5	179726680	179726759	3369	3448
mee	ENSG00000127022_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127022_template	179723478	179723779	1454	1755
mee	ENSG00000127022_template	ENSG00000127022_ale,afe,mee,ir,mes,a3,es,a5	179722804	179723019	3026	3241
mes	ENSG00000127022_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127022_template	179704155,179705679,179706258,179707132,179708239,179708978,179709694,179715899	179704430,179705852,179706331,179707190,179708380,179709059,179710065,179716000	1284,1560,1734,1808,1867,2009,2091,2463	1559,1733,1807,1866,2008,2090,2462,2564
es	ENSG00000127022_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127022_template	179719668	179719781	2755	2868
ir	ENSG00000127022_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127022_template	179700534	179700883	635	984
a3	ENSG00000127022_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127022_template	179700186	179700252	814	880
a5	ENSG00000127022_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127022_template	179698913	179699102	421	610
mes	ENSG00000175352_mes	ENSG00000175352_template	8988118,8987548	8988282,8987630	289,454	453,536
ale	ENSG00000175352_ale	ENSG00000175352_template	8980576	8983969	677	4070
ale	ENSG00000175352_template	ENSG00000175352_ale	8984072	8984124	677	729
es	ENSG00000136758_es	ENSG00000136758_template	27136276	27136385	3629	3738
ir	ENSG00000136758_ir	ENSG00000136758_template	27142486	27145418	3530	6462
ale	ENSG00000136758_ale	ENSG00000136758_template	27114521	27114607	5240	5326
ale	ENSG00000136758_template	ENSG00000136758_ale	27110112	27112120	5240	7248
es	ENSG00000271949_es	ENSG00000271949_template	89686470	89686611	184	325
ir	ENSG00000271949_ir	ENSG00000271949_template	89843783	89933066	471	89754
es	ENSG00000230565_es	ENSG00000230565_template	43647112	43647209	357	454
a5	ENSG00000004487_a5	ENSG00000004487_template	23068551	23068681	1591	1721
es	ENSG00000226124_es	ENSG00000226124_template	199785529	199785578	2418	2467
mes	ENSG00000226124_mes	ENSG00000226124_template	199846075,199844380,199818360	199846170,199844532,199819757	558,654,807	653,806,2204
es	ENSG00000223817_es	ENSG00000223817_template	71509915	71510010	97	192
afe	ENSG00000117118_afe	ENSG00000117118_template	17052255	17052488	1	234
afe	ENSG00000117118_template	ENSG00000117118_afe	17053948	17054032	1	85
a3	ENSG00000144115_a3	ENSG00000144115_template	88178783	88178795	4246	4258
a3	ENSG00000249840_a3	ENSG00000249840_template	11587006	11587065	847	906
ale	ENSG00000151632_ale	ENSG00000151632_template	4991831	4991913	3740	3822
ale	ENSG00000151632_template	ENSG00000151632_ale	4987400	4990038	3740	6378
es	ENSG00000226864_es	ENSG00000226864_template	121949412	121949487	367	442
afe	ENSG00000250251_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000250251_template	15138385	15138454	1	70
afe	ENSG00000250251_template	ENSG00000250251_ale,afe,mee,ir,mes,a3,es,a5	15154350	15154564	1	215
ale	ENSG00000250251_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000250251_template	15125551	15125600	5216	5265
ale	ENSG00000250251_template	ENSG00000250251_ale,afe,mee,ir,mes,a3,es,a5	15125242	15125325	5145	5228
mee	ENSG00000250251_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000250251_template	15136869	15137535	317	983
mee	ENSG00000250251_template	ENSG00000250251_ale,afe,mee,ir,mes,a3,es,a5	15136567	15136750	462	645
mes	ENSG00000250251_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000250251_template	15135649,15135280,15135030,15134202,15133795,15133488	15135755,15135429,15135153,15134345,15134074,15133703	804,911,1061,1185,1329,1609	910,1060,1184,1328,1608,1824
es	ENSG00000250251_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000250251_template	15130635	15130791	2961	3117
ir	ENSG00000250251_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000250251_template	15131708	15132719	1644	2655
a3	ENSG00000250251_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000250251_template	15128129	15128135	3735	3741
a5	ENSG00000250251_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000250251_template	15129882	15129975	3371	3464
es	ENSG00000151725_es	ENSG00000151725_template	184724957	184725062	400	505
a3	ENSG00000176654_a3	ENSG00000176654_template	7899484	7899807	1376	1699
afe	ENSG00000181744_afe	ENSG00000181744_template	143971798	143972989	1	1192
afe	ENSG00000181744_template	ENSG00000181744_afe	143973081	143973562	1	482
es	ENSG00000171236_es	ENSG00000171236_template	4539088	4539184	56	152
es	ENSG00000144468_es	ENSG00000144468_template	226988332	226988498	2918	3084
ir	ENSG00000144468_ir	ENSG00000144468_template	226837839	226838072	663	896
mee	ENSG00000144468_mee	ENSG00000144468_template	226908822	226908878	2261	2317
mee	ENSG00000144468_template	ENSG00000144468_mee	226914208	226914637	2261	2690
es	ENSG00000113312_es	ENSG00000113312_template	160010500	160010858	82	440
es	ENSG00000170525_es	ENSG00000170525_template	6219569	6219693	1153	1277
afe	ENSG00000170525_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000170525_template	6146316	6146496	1	181
afe	ENSG00000170525_template	ENSG00000170525_ale,afe,mee,ir,mes,a3,es,a5	6144934	6145013	1	80
ale	ENSG00000170525_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000170525_template	6254178	6254644	2065	2531
ale	ENSG00000170525_template	ENSG00000170525_ale,afe,mee,ir,mes,a3,es,a5	6232895	6235532	2729	5366
mee	ENSG00000170525_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000170525_template	6228196	6228295	1841	1940
mee	ENSG00000170525_template	ENSG00000170525_ale,afe,mee,ir,mes,a3,es,a5	6226192	6226447	2349	2604
mes	ENSG00000170525_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000170525_template	6213623,6215221,6216125,6216706	6213748,6215317,6216191,6216780	731,857,954,1021	856,953,1020,1095
es	ENSG00000170525_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000170525_template	6219569	6219693	1153	1277
ir	ENSG00000170525_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000170525_template	6221528	6221640	1012	1124
a3	ENSG00000170525_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000170525_template	6202866	6202914	260	308
a5	ENSG00000170525_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000170525_template	6220683	6220865	1278	1460
ir	ENSG00000245059_ir	ENSG00000245059_template	81077877	81078331	559	1013
a5	ENSG00000286165_a5	ENSG00000286165_template	189667323	189667596	147	420
mee	ENSG00000286165_mee	ENSG00000286165_template	189665376	189665451	93	168
mee	ENSG00000286165_template	ENSG00000286165_mee	189663901	189663954	93	146
es	ENSG00000078401_es	ENSG00000078401_template	12294261	12294404	659	802
es	ENSG00000196081_es	ENSG00000196081_template	23230860	23231361	401	902
ir	ENSG00000284630_ir	ENSG00000284630_template	21657973	21658265	163	455
ale	ENSG00000163214_ale	ENSG00000163214_template	38802715	38803023	6963	7271
ale	ENSG00000163214_template	ENSG00000163214_ale	38797729	38798442	6963	7676
a3	ENSG00000288001_a3	ENSG00000288001_template	93156955	93156958	2488	2491
es	ENSG00000180483_es	ENSG00000180483_template	31388968	31389230	169	431
a5	ENSG00000180483_a5	ENSG00000180483_template	31378352	31378388	469	505
es	ENSG00000121289_es	ENSG00000121289_template	32948266	32948368	3706	3808
mes	ENSG00000121289_mes	ENSG00000121289_template	32937013,32933451,32931207,32926934,32926190,32923439,32918224,32915337,32901245,32899857	32937120,32933669,32931571,32926984,32926273,32923542,32918339,32915517,32901412,32899998	3982,4090,4309,4674,4725,4809,4913,5029,5210,5378	4089,4308,4673,4724,4808,4912,5028,5209,5377,5519
a3	ENSG00000121289_a3	ENSG00000121289_template	32937645	32937673	3838	3866
es	ENSG00000237435_es	ENSG00000237435_template	96021298	96021396	2335	2433
mee	ENSG00000237435_mee	ENSG00000237435_template	96010696	96010708	1668	1680
mee	ENSG00000237435_template	ENSG00000237435_mee	96006170	96006425	1668	1923
a5	ENSG00000167080_a5	ENSG00000167080_template	49166183	49166254	1232	1303
afe	ENSG00000167080_afe	ENSG00000167080_template	49132460	49132510	1	51
afe	ENSG00000167080_template	ENSG00000167080_afe	49132769	49132806	1	38
es	ENSG00000004846_es	ENSG00000004846_template	20647968	20648078	1879	1989
afe	ENSG00000004846_afe	ENSG00000004846_template	20623265	20623338	1	74
afe	ENSG00000004846_template	ENSG00000004846_afe	20615207	20615837	1	631
mee	ENSG00000004846_mee	ENSG00000004846_template	20659066	20660394	2393	3721
mee	ENSG00000004846_template	ENSG00000004846_mee	20658506	20658676	2393	2563
afe	ENSG00000179195_afe	ENSG00000179195_template	123971845	123971881	1	37
afe	ENSG00000179195_template	ENSG00000179195_afe	123973123	123974553	1	1431
mes	ENSG00000143627_mes	ENSG00000143627_template	155294482,155294235,155293438,155293177,155291756	155294752,155294385,155293590,155293343,155291937	716,987,1138,1291,1458	986,1137,1290,1457,1639
afe	ENSG00000143627_afe	ENSG00000143627_template	155301296	155301438	1	143
afe	ENSG00000143627_template	ENSG00000143627_afe	155300881	155301001	1	121
es	ENSG00000084453_es	ENSG00000084453_template	21319372	21319579	1548	1755
afe	ENSG00000084453_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000084453_template	21417882	21418016	1	135
afe	ENSG00000084453_template	ENSG00000084453_ale,afe,mee,ir,mes,a3,es,a5	21419177	21419594	1	418
ale	ENSG00000084453_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000084453_template	21273942	21274586	19589	20233
ale	ENSG00000084453_template	ENSG00000084453_ale,afe,mee,ir,mes,a3,es,a5	21264600	21269767	5446	10613
mee	ENSG00000084453_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000084453_template	21374399	21374525	519	645
mee	ENSG00000084453_template	ENSG00000084453_ale,afe,mee,ir,mes,a3,es,a5	21334827	21334913	1196	1282
